nome_arquivo,hash_origem,hash_destino,status
OUT_CCB119-001.bqrecal.bam,,33c98ca883e0959d9247746ab73aca71,Diferente
OUT_CCB119-001.bqrecal.bam.bai,,7f2c37c92d9f29b7659baf2cbf86ed97,Diferente
OUT_CCB119-002.bqrecal.bam,,74900c5926503fcb6289ca80013252e6,Diferente
OUT_CCB119-002.bqrecal.bam.bai,,7eaf8ae6734533be75179bc2544026c4,Diferente
OUT_KRI647-001.bqrecal.bam,,3cb8ec9b90ff4a5506033e85fbc034a0,Diferente
OUT_KRI647-001.bqrecal.bam.bai,,65f6b8771a2a12357296aa7a1302e4f6,Diferente
OUT_KRI647-002.bqrecal.bam,,00b9f63b187d7641357d884012ccb3b2,Diferente
OUT_KRI647-002.bqrecal.bam.bai,,5011d975f314273cb55098a96cd0acd1,Diferente
OUT_MOW331-001.bqrecal.bam,,355a623da924e2e7c5e2928b72174253,Diferente
OUT_MOW331-001.bqrecal.bam.bai,,e365dfeaf0afb674b1f334d5fec0fcec,Diferente
OUT_MOW331-002.bqrecal.bam,,7e7d4a8dab1ef31962894722d98650d1,Diferente
OUT_MOW331-002.bqrecal.bam.bai,,fa6dd92a326e48033ad8f199d2972941,Diferente
OUT_NTR443-001.bqrecal.bam,,56f23601196e4df4e7a43010ff5540ae,Diferente
OUT_NTR443-001.bqrecal.bam.bai,,f13aec09663c8e63b0dc96c849e0becf,Diferente
OUT_NTR443-002.bqrecal.bam,,d2c6aac6ddfe97b927e1b218d6eb46bf,Diferente
OUT_NTR443-002.bqrecal.bam.bai,,a336bdc86ad26a7378f77064b4088173,Diferente
OUT_OKJ341-001.bqrecal.bam,,4278c19414a1a154be9eea17c2cef0ce,Diferente
OUT_OKJ341-001.bqrecal.bam.bai,,2682c58d82d9fbda0ada875e60fc7b8c,Diferente
OUT_OKJ341-002.bqrecal.bam,,4bf8c75c445c06f33a991abccde6d466,Diferente
OUT_OKJ341-002.bqrecal.bam.bai,,b77ffff7828bada1cc919b2bdbf12a77,Diferente
OUT_PLP937-001.bqrecal.bam,,7155099c8a05a1b5e303cd830f436a4b,Diferente
OUT_PLP937-001.bqrecal.bam.bai,,fb0e0b332f719f5963571cc2f464df78,Diferente
OUT_PLP937-002.bqrecal.bam,,0ba273f674e64d5b7bea225cf6cf40f6,Diferente
OUT_PLP937-002.bqrecal.bam.bai,,8e17c9b13e1ead87e7fc0ed381220513,Diferente
OUT_VZF881-001.bqrecal.bam,,19c8002145673119e54428efcea31d17,Diferente
OUT_VZF881-001.bqrecal.bam.bai,,fc67bd0b0c105c01fc76990f687d2c47,Diferente
OUT_VZF881-002.bqrecal.bam,,eb618ca60f3bdeffe3e4c47cb0aace5f,Diferente
OUT_VZF881-002.bqrecal.bam.bai,,d5aa7ff7ef966bb4302b16840ae317bd,Diferente
OUT_WAH272-001.bqrecal.bam,,271b41e50ceb3201dcad8ad627ca42f9,Diferente
OUT_WAH272-001.bqrecal.bam.bai,,770e018fb82e187a7f5e1fb97026ba5b,Diferente
OUT_WAH272-002.bqrecal.bam,,b246d3bed919c61d7db69fc3d8b008a5,Diferente
OUT_WAH272-002.bqrecal.bam.bai,,4ea1a13c592c8dcef8442b58277faeb5,Diferente
OUT_WCC317-001.bqrecal.bam,,7006bc7a10a4d6c5423b53d1385f608d,Diferente
OUT_WCC317-001.bqrecal.bam.bai,,ce42f31f483c23c7e22db181091ce910,Diferente
OUT_WCC317-002.bqrecal.bam,,82eb8cc4c4c0aadde5f961b942df2822,Diferente
OUT_WCC317-002.bqrecal.bam.bai,,fdfcd1768706a7e0bfa716c49b344dbf,Diferente
OUT_WDE906-001.bqrecal.bam,,c0ad9a4b29c2cdf965a4b9b3c09ff17e,Diferente
OUT_WDE906-001.bqrecal.bam.bai,,25254e67a6b751975944eef23565f0a7,Diferente
OUT_WDE906-002.bqrecal.bam,,449a3893ab07dadfc6e1e69a5752576f,Diferente
OUT_WDE906-002.bqrecal.bam.bai,,3a39538899ee509e3d01fd855511b8cc,Diferente
AZT476-001.bam,,51f0ec30b3c506009ad2c93194f8e7d7,Diferente
AZT476-001.bam.bai,,f5545798d2b5209b5fb45cc13c2acdbc,Diferente
AZT476-002.bam,,64d58ada264faae26c0cb2100646e297,Diferente
AZT476-002.bam.bai,,320553b696caa96d306b3b361e0251d7,Diferente
FZZ926-001.bam,,7e3538ded41d07b28f53762df3b0c3f9,Diferente
FZZ926-001.bam.bai,,a886e8fd071ea2683d715461659c2d89,Diferente
FZZ926-002.bam,,f63ee2ee28f5ac88e1a2666a3d3a233f,Diferente
FZZ926-002.bam.bai,,4f5a23c718056221ce11df4ad5074dcd,Diferente
GOS385-001.bam,,1deab0ec0fbd1d7db0d9273b302cc2fd,Diferente
GOS385-001.bam.bai,,778a39254484cf1ec12c071d6e6c4fa9,Diferente
GOS385-002.bam,,8e8c85eb48db621e18e10dd53f287e28,Diferente
GOS385-002.bam.bai,,0bc7235022ee53bc42f2aeab1e9c6a00,Diferente
GQT652-001.bam,,1fa6b9983c4210aa4c06831be58f5395,Diferente
GQT652-001.bam.bai,,6b80c676cc55c40cf2d6bec74b7f296d,Diferente
GQT652-002.bam,,70405313fbcd81fd5d4a4ad0d8d2cc56,Diferente
GQT652-002.bam.bai,,52d784784246a49d42377292b649f26b,Diferente
HSY602-001.bam,,23bab4a95592c915b741504dff6be37c,Diferente
HSY602-001.bam.bai,,d37306d59c2465c6789a9794b0d15e71,Diferente
HSY602-002.bam,,9ea05c10bfbffee2e6353e3646a6abf1,Diferente
HSY602-002.bam.bai,,11bf2632393b12adce4418b45d8456f0,Diferente
JKI465-001.bam,,6fb9082a1e440d58382dbe988d055ceb,Diferente
JKI465-001.bam.bai,,9af8363219c3b9450e7b6a0826b9d391,Diferente
