Filename,Sample ID,A01,Array Barcode
a550995-4452193-010824-381_A01.ARR,,9SR37901,381
a550995-4452193-010824-381_A02.ARR,,9SR37901,381
a550995-4452193-010824-381_A03.ARR,,9SR37901,381
a550995-4452193-010824-381_A04.ARR,,9SR37901,381
a550995-4452193-010824-381_A05.ARR,,9SR37901,381
a550995-4452193-010824-381_A06.ARR,,9SR37901,381
a550995-4452193-010824-381_A07.ARR,,9SR37901,381
a550995-4452193-010824-381_A08.ARR,,9SR37901,381
a550995-4452193-010824-381_A09.ARR,,9SR37901,381
a550995-4452193-010824-381_A10.ARR,,9SR37901,381
a550995-4452193-010824-381_A11.ARR,,9SR37901,381
a550995-4452193-010824-381_A12.ARR,,-,381
a550995-4452193-010824-381_B01.ARR,,9SR37901,381
a550995-4452193-010824-381_B02.ARR,,9SR37901,381
a550995-4452193-010824-381_B03.ARR,,9SR37901,381
a550995-4452193-010824-381_B04.ARR,,9SR37901,381
a550995-4452193-010824-381_B05.ARR,,9SR37901,381
a550995-4452193-010824-381_B06.ARR,,9SR37901,381
a550995-4452193-010824-381_B07.ARR,,9SR37901,381
a550995-4452193-010824-381_B08.ARR,,9SR37901,381
a550995-4452193-010824-381_B09.ARR,,9SR37901,381
a550995-4452193-010824-381_B10.ARR,,9SR37901,381
a550995-4452193-010824-381_B11.ARR,,9SR37901,381
a550995-4452193-010824-381_B12.ARR,,9SR37901,381
a550995-4452193-010824-381_C01.ARR,,9SR37901,381
a550995-4452193-010824-381_C02.ARR,,9SR37901,381
a550995-4452193-010824-381_C03.ARR,,9SR37901,381
a550995-4452193-010824-381_C04.ARR,,9SR37901,381
a550995-4452193-010824-381_C05.ARR,,9SR37901,381
a550995-4452193-010824-381_C06.ARR,,9SR37901,381
a550995-4452193-010824-381_C07.ARR,,9SR37901,381
a550995-4452193-010824-381_C08.ARR,,9SR37901,381
a550995-4452193-010824-381_C09.ARR,,9SR37901,381
a550995-4452193-010824-381_C10.ARR,,9SR37901,381
a550995-4452193-010824-381_C11.ARR,,9SR37901,381
a550995-4452193-010824-381_C12.ARR,,9SR37901,381
a550995-4452193-010824-381_D01.ARR,,9SR37901,381
a550995-4452193-010824-381_D02.ARR,,9SR37901,381
a550995-4452193-010824-381_D03.ARR,,9SR37901,381
a550995-4452193-010824-381_D04.ARR,,9SR37901,381
a550995-4452193-010824-381_D05.ARR,,9SR37901,381
a550995-4452193-010824-381_D06.ARR,,9SR37901,381
a550995-4452193-010824-381_D07.ARR,,9SR37901,381
a550995-4452193-010824-381_D08.ARR,,9SR37901,381
a550995-4452193-010824-381_D09.ARR,,9SR37901,381
a550995-4452193-010824-381_D10.ARR,,9SR37901,381
a550995-4452193-010824-381_D11.ARR,,9SR37901,381
a550995-4452193-010824-381_D12.ARR,,9SR37901,381
a550995-4452193-010824-381_E01.ARR,,9SR37901,381
a550995-4452193-010824-381_E02.ARR,,9SR37901,381
a550995-4452193-010824-381_E03.ARR,,9SR37901,381
a550995-4452193-010824-381_E04.ARR,,9SR37901,381
a550995-4452193-010824-381_E05.ARR,,9SR37901,381
a550995-4452193-010824-381_E06.ARR,,9SR37901,381
a550995-4452193-010824-381_E07.ARR,,9SR37901,381
a550995-4452193-010824-381_E08.ARR,,9SR37901,381
a550995-4452193-010824-381_E09.ARR,,9SR37901,381
a550995-4452193-010824-381_E10.ARR,,9SR37901,381
a550995-4452193-010824-381_E11.ARR,,9SR37901,381
a550995-4452193-010824-381_E12.ARR,,-,381
a550995-4452193-010824-381_F01.ARR,,9SR37901,381
a550995-4452193-010824-381_F02.ARR,,9SR37901,381
a550995-4452193-010824-381_F03.ARR,,9SR37901,381
a550995-4452193-010824-381_F04.ARR,,9SR37901,381
a550995-4452193-010824-381_F05.ARR,,9SR37901,381
a550995-4452193-010824-381_F06.ARR,,9SR37901,381
a550995-4452193-010824-381_F07.ARR,,9SR37901,381
